#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX; COV; CORR
mean_batch_waiting_time (lag=0);1185;24505.400808236256;5.848554643312671E8;24183.78515309932;0.9868757235332042;1337.23378;138039.51047000004;5.843619154162198E8;0.9991561181434603
mean_batch_waiting_time (lag=1);1185;24505.400808236256;5.848554643312671E8;24183.78515309932;0.9868757235332042;1337.23378;138039.51047000004;4.916921054805912E8;0.8407070386916871
mean_batch_waiting_time (lag=2);1185;24505.400808236256;5.848554643312671E8;24183.78515309932;0.9868757235332042;1337.23378;138039.51047000004;3.864866104762429E8;0.6608241421120306
mean_batch_waiting_time (lag=3);1185;24505.400808236256;5.848554643312671E8;24183.78515309932;0.9868757235332042;1337.23378;138039.51047000004;3.1752734326151085E8;0.5429159213286595
mean_batch_waiting_time (lag=4);1185;24505.400808236256;5.848554643312671E8;24183.78515309932;0.9868757235332042;1337.23378;138039.51047000004;2.6669358664691567E8;0.45599913638809425
mean_batch_waiting_time (lag=5);1185;24505.400808236256;5.848554643312671E8;24183.78515309932;0.9868757235332042;1337.23378;138039.51047000004;2.2421905027300334E8;0.3833751481306222
mean_batch_waiting_time (lag=6);1185;24505.400808236256;5.848554643312671E8;24183.78515309932;0.9868757235332042;1337.23378;138039.51047000004;1.8746015305756807E8;0.32052389776662676
mean_batch_waiting_time (lag=7);1185;24505.400808236256;5.848554643312671E8;24183.78515309932;0.9868757235332042;1337.23378;138039.51047000004;1.6286367903009123E8;0.27846825235071043
mean_batch_waiting_time (lag=8);1185;24505.400808236256;5.848554643312671E8;24183.78515309932;0.9868757235332042;1337.23378;138039.51047000004;1.3692204193624163E8;0.23411261463172003
mean_batch_waiting_time (lag=9);1185;24505.400808236256;5.848554643312671E8;24183.78515309932;0.9868757235332042;1337.23378;138039.51047000004;1.0184068164427054E8;0.17412965742008885
mean_batch_waiting_time (lag=10);1185;24505.400808236256;5.848554643312671E8;24183.78515309932;0.9868757235332042;1337.23378;138039.51047000004;7.101685868274462E7;0.12142634037615842
